Output_audio\part_from_join.mp3
fr=14500;to=14600;avr=14550;rms=0
fr=14600;to=14700;avr=14650;rms=0
fr=14700;to=14800;avr=14750;rms=0
fr=14800;to=14900;avr=14850;rms=961
fr=14900;to=15000;avr=14950;rms=4678
fr=15000;to=15100;avr=15050;rms=4678
fr=15100;to=15200;avr=15150;rms=4678
fr=15200;to=15300;avr=15250;rms=4679
fr=15300;to=15400;avr=15350;rms=4678
fr=15400;to=15500;avr=15450;rms=4679
fr=15500;to=15600;avr=15550;rms=4678
fr=15600;to=15700;avr=15650;rms=4678
fr=15700;to=15800;avr=15750;rms=4678
fr=15800;to=15900;avr=15850;rms=4678
fr=15900;to=16000;avr=15950;rms=4679
fr=16000;to=16100;avr=16050;rms=4678
fr=16100;to=16200;avr=16150;rms=4678
fr=16200;to=16300;avr=16250;rms=4678
fr=16300;to=16400;avr=16350;rms=4679
fr=16400;to=16500;avr=16450;rms=4679
fr=16500;to=16600;avr=16550;rms=4678
fr=16600;to=16700;avr=16650;rms=4679
fr=16700;to=16800;avr=16750;rms=4678
fr=16800;to=16900;avr=16850;rms=4678
fr=16900;to=17000;avr=16950;rms=4678
fr=17000;to=17100;avr=17050;rms=4678
fr=17100;to=17200;avr=17150;rms=4678
fr=17200;to=17300;avr=17250;rms=4678
fr=17300;to=17400;avr=17350;rms=4678
fr=17400;to=17500;avr=17450;rms=4678
fr=17500;to=17600;avr=17550;rms=4678
fr=17600;to=17700;avr=17650;rms=4678
fr=17700;to=17800;avr=17750;rms=4679
fr=17800;to=17900;avr=17850;rms=4678
fr=17900;to=18000;avr=17950;rms=4678
fr=18000;to=18100;avr=18050;rms=4678
fr=18100;to=18200;avr=18150;rms=4678
fr=18200;to=18300;avr=18250;rms=4678
fr=18300;to=18400;avr=18350;rms=4678
fr=18400;to=18500;avr=18450;rms=4679
fr=18500;to=18600;avr=18550;rms=4678
fr=18600;to=18700;avr=18650;rms=4678
fr=18700;to=18800;avr=18750;rms=4678
fr=18800;to=18900;avr=18850;rms=4679
fr=18900;to=19000;avr=18950;rms=4678
fr=19000;to=19100;avr=19050;rms=4678
fr=19100;to=19200;avr=19150;rms=4678
fr=19200;to=19300;avr=19250;rms=4678
fr=19300;to=19400;avr=19350;rms=4678
fr=19400;to=19500;avr=19450;rms=4678
fr=19500;to=19600;avr=19550;rms=4679
fr=19600;to=19700;avr=19650;rms=4678
fr=19700;to=19800;avr=19750;rms=4678
fr=19800;to=19900;avr=19850;rms=4679
fr=19900;to=20000;avr=19950;rms=4678
fr=20000;to=20100;avr=20050;rms=4678
fr=20100;to=20200;avr=20150;rms=4678
fr=20200;to=20300;avr=20250;rms=4679
fr=20300;to=20400;avr=20350;rms=4679
fr=20400;to=20500;avr=20450;rms=4678
fr=20500;to=20600;avr=20550;rms=4678
fr=20600;to=20700;avr=20650;rms=4679
fr=20700;to=20800;avr=20750;rms=4678
fr=20800;to=20900;avr=20850;rms=4678
fr=20900;to=21000;avr=20950;rms=4678
fr=21000;to=21100;avr=21050;rms=4678
fr=21100;to=21200;avr=21150;rms=4678
fr=21200;to=21300;avr=21250;rms=4678
fr=21300;to=21400;avr=21350;rms=4679
fr=21400;to=21500;avr=21450;rms=4678
fr=21500;to=21600;avr=21550;rms=4678
fr=21600;to=21700;avr=21650;rms=4678
fr=21700;to=21800;avr=21750;rms=4678
fr=21800;to=21900;avr=21850;rms=4679
fr=21900;to=22000;avr=21950;rms=4678
fr=22000;to=22100;avr=22050;rms=4678
fr=22100;to=22200;avr=22150;rms=4678
fr=22200;to=22300;avr=22250;rms=4678
fr=22300;to=22400;avr=22350;rms=4678
fr=22400;to=22500;avr=22450;rms=4678
fr=22500;to=22600;avr=22550;rms=4678
fr=22600;to=22700;avr=22650;rms=4678
fr=22700;to=22800;avr=22750;rms=4678
fr=22800;to=22900;avr=22850;rms=4678
fr=22900;to=23000;avr=22950;rms=4678
fr=23000;to=23100;avr=23050;rms=4678
fr=23100;to=23200;avr=23150;rms=4679
fr=23200;to=23300;avr=23250;rms=4679
fr=23300;to=23400;avr=23350;rms=4678
fr=23400;to=23500;avr=23450;rms=4678
fr=23500;to=23600;avr=23550;rms=4678
fr=23600;to=23700;avr=23650;rms=4678
fr=23700;to=23800;avr=23750;rms=4678
fr=23800;to=23900;avr=23850;rms=4678
fr=23900;to=24000;avr=23950;rms=4678
fr=24000;to=24100;avr=24050;rms=4678
fr=24100;to=24200;avr=24150;rms=4678
fr=24200;to=24300;avr=24250;rms=4678
fr=24300;to=24400;avr=24350;rms=4679
